Wavenumber,Absorbance
2573.60748,-0.01384
2571.55024,-0.01372
2569.493,-0.01366
2567.43576,-0.0137
2565.37852,-0.01389
2563.32128,-0.01411
2561.26404,-0.01419
2559.2068,-0.01421
2557.14956,-0.01429
2555.09232,-0.01439
2553.03508,-0.01445
2550.97784,-0.01447
2548.9206,-0.01448
2546.86336,-0.01441
2544.80612,-0.01424
2542.74888,-0.01412
2540.69164,-0.01413
2538.6344,-0.01416
2536.57716,-0.01413
2534.51992,-0.01412
2532.46268,-0.01416
2530.40544,-0.01418
2528.3482,-0.01413
2526.29096,-0.01413
2524.23372,-0.01422
2522.17648,-0.01436
2520.11924,-0.01454
2518.062,-0.01462
2516.00476,-0.01453
2513.94752,-0.01436
2511.89028,-0.01436
2509.83304,-0.01453
2507.7758,-0.01461
2505.71856,-0.01455
2503.66132,-0.01443
2501.60408,-0.01424
2499.54684,-0.01411
2497.4896,-0.01424
2495.43236,-0.01453
2493.37512,-0.01467
2491.31788,-0.01462
2489.26063,-0.01455
2487.20339,-0.01458
2485.14615,-0.01471
2483.08891,-0.01483
2481.03167,-0.01494
2478.97443,-0.01505
2476.91719,-0.01504
2474.85995,-0.01485
2472.80271,-0.01466
2470.74547,-0.01469
2468.68823,-0.01479
2466.63099,-0.01473
2464.57375,-0.01453
2462.51651,-0.01445
2460.45927,-0.01451
2458.40203,-0.01449
2456.34479,-0.01433
2454.28755,-0.01416
2452.23031,-0.01416
2450.17307,-0.01426
2448.11583,-0.01428
2446.05859,-0.01418
2444.00135,-0.01405
2441.94411,-0.01401
2439.88687,-0.01415
2437.82963,-0.01432
2435.77239,-0.01434
2433.71515,-0.01426
2431.65791,-0.01422
2429.60067,-0.0143
2427.54343,-0.01452
2425.48619,-0.01472
2423.42895,-0.01475
2421.37171,-0.01471
2419.31447,-0.01471
2417.25723,-0.01472
2415.19999,-0.01468
2413.14275,-0.01453
2411.08551,-0.01434
2409.02827,-0.01424
2406.97103,-0.01433
2404.91379,-0.01454
2402.85655,-0.01464
2400.79931,-0.01459
2398.74207,-0.01449
2396.68483,-0.01439
2394.62759,-0.01428
2392.57035,-0.01418
2390.51311,-0.01415
2388.45587,-0.01415
2386.39863,-0.01417
2384.34138,-0.01417
2382.28414,-0.01417
2380.2269,-0.01424
2378.16966,-0.01438
2376.11242,-0.01453
2374.05518,-0.01457
2371.99794,-0.01439
2369.9407,-0.01405
2367.88346,-0.01368
2365.82622,-0.01345
2363.76898,-0.01361
2361.71174,-0.01419
2359.6545,-0.01492
2357.59726,-0.01551
2355.54002,-0.01587
2353.48278,-0.0159
2351.42554,-0.01555
2349.3683,-0.015
2347.31106,-0.01454
2345.25382,-0.01429
2343.19658,-0.01405
2341.13934,-0.01371
2339.0821,-0.01347
2337.02486,-0.01356
2334.96762,-0.01394
2332.91038,-0.01432
2330.85314,-0.01446
2328.7959,-0.01445
2326.73866,-0.01446
2324.68142,-0.01449
2322.62418,-0.01441
2320.56694,-0.01416
2318.5097,-0.01389
2316.45246,-0.01375
2314.39522,-0.01375
2312.33798,-0.01384
2310.28074,-0.01398
2308.2235,-0.0141
2306.16626,-0.01416
2304.10902,-0.0142
2302.05178,-0.01427
2299.99454,-0.0144
2297.9373,-0.01449
2295.88006,-0.01451
2293.82282,-0.01445
2291.76558,-0.01436
2289.70834,-0.01425
2287.6511,-0.01414
2285.59386,-0.01408
2283.53662,-0.01412
2281.47938,-0.01422
2279.42214,-0.01432
2277.36489,-0.01438
2275.30765,-0.01439
2273.25041,-0.01437
2271.19317,-0.01436
2269.13593,-0.0144
2267.07869,-0.01444
2265.02145,-0.01439
2262.96421,-0.01427
2260.90697,-0.01413
2258.84973,-0.014
2256.79249,-0.01391
2254.73525,-0.01385
2252.67801,-0.01388
2250.62077,-0.01403
2248.56353,-0.01434
2246.50629,-0.01473
2244.44905,-0.01488
2242.39181,-0.0148
2240.33457,-0.01477
2238.27733,-0.01487
2236.22009,-0.01492
2234.16285,-0.01483
2232.10561,-0.01464
2230.04837,-0.01449
2227.99113,-0.0145
2225.93389,-0.01457
2223.87665,-0.01455
2221.81941,-0.01439
2219.76217,-0.01423
2217.70493,-0.01416
2215.64769,-0.01415
2213.59045,-0.01414
2211.53321,-0.01413
2209.47597,-0.01415
2207.41873,-0.01426
2205.36149,-0.01448
2203.30425,-0.0146
2201.24701,-0.01448
2199.18977,-0.01442
2197.13253,-0.01454
2195.07529,-0.01459
2193.01805,-0.01451
2190.96081,-0.01455
2188.90357,-0.01467
2186.84633,-0.01464
2184.78909,-0.01447
2182.73185,-0.01427
2180.67461,-0.01416
2178.61737,-0.01424
2176.56013,-0.01442
2174.50289,-0.01444
2172.44564,-0.0143
2170.3884,-0.01419
2168.33116,-0.01427
2166.27392,-0.0145
2164.21668,-0.01473
2162.15944,-0.01484
2160.1022,-0.01482
2158.04496,-0.01468
2155.98772,-0.01449
2153.93048,-0.01431
2151.87324,-0.01425
2149.816,-0.01438
2147.75876,-0.01467
2145.70152,-0.01493
2143.64428,-0.01505
2141.58704,-0.01504
2139.5298,-0.01492
2137.47256,-0.01471
2135.41532,-0.01452
2133.35808,-0.01449
2131.30084,-0.0146
2129.2436,-0.01469
2127.18636,-0.01467
2125.12912,-0.01456
2123.07188,-0.01445
2121.01464,-0.01441
2118.9574,-0.01448
2116.90016,-0.01459
2114.84292,-0.01465
2112.78568,-0.01464
2110.72844,-0.01461
2108.6712,-0.01463
2106.61396,-0.01478
2104.55672,-0.01494
2102.49948,-0.01492
2100.44224,-0.0147
2098.385,-0.01447
2096.32776,-0.01428
2094.27052,-0.01413
2092.21328,-0.01405
2090.15604,-0.01403
2088.0988,-0.01403
2086.04156,-0.01403
2083.98432,-0.01404
2081.92708,-0.01409
2079.86984,-0.0142
2077.8126,-0.01437
2075.75536,-0.01458
2073.69812,-0.01478
2071.64088,-0.01491
2069.58364,-0.01492
2067.5264,-0.01486
2065.46915,-0.01483
2063.41191,-0.01487
2061.35467,-0.01494
2059.29743,-0.01497
2057.24019,-0.01497
2055.18295,-0.01498
2053.12571,-0.01502
2051.06847,-0.01509
2049.01123,-0.01512
2046.95399,-0.01507
2044.89675,-0.01494
2042.83951,-0.01476
2040.78227,-0.01458
2038.72503,-0.01447
2036.66779,-0.01449
2034.61055,-0.0146
2032.55331,-0.01471
2030.49607,-0.01476
2028.43883,-0.01478
2026.38159,-0.01475
2024.32435,-0.01464
2022.26711,-0.01449
2020.20987,-0.01442
2018.15263,-0.0145
2016.09539,-0.01466
2014.03815,-0.01479
2011.98091,-0.0148
2009.92367,-0.01478
2007.86643,-0.01485
2005.80919,-0.01504
2003.75195,-0.01527
2001.69471,-0.0154
1999.63747,-0.01537
1997.58023,-0.01521
1995.52299,-0.015
1993.46575,-0.01481
1991.40851,-0.01467
1989.35127,-0.01462
1987.29403,-0.01467
1985.23679,-0.01481
1983.17955,-0.01498
1981.12231,-0.01509
1979.06507,-0.01509
1977.00783,-0.01499
1974.95059,-0.0149
1972.89335,-0.01487
1970.83611,-0.0149
1968.77887,-0.01494
1966.72163,-0.01496
1964.66439,-0.01496
1962.60715,-0.01495
1960.5499,-0.01495
1958.49266,-0.01495
1956.43542,-0.01494
1954.37818,-0.01497
1952.32094,-0.01505
1950.2637,-0.01516
1948.20646,-0.01525
1946.14922,-0.01533
1944.09198,-0.01536
1942.03474,-0.01531
1939.9775,-0.0152
1937.92026,-0.0151
1935.86302,-0.01506
1933.80578,-0.01508
1931.74854,-0.01512
1929.6913,-0.01518
1927.63406,-0.01524
1925.57682,-0.0153
1923.51958,-0.01533
1921.46234,-0.0153
1919.4051,-0.01524
1917.34786,-0.01522
1915.29062,-0.01524
1913.23338,-0.01524
1911.17614,-0.01517
1909.1189,-0.01506
1907.06166,-0.01503
1905.00442,-0.01509
1902.94718,-0.01519
1900.88994,-0.01529
1898.8327,-0.01536
1896.77546,-0.01541
1894.71822,-0.01543
1892.66098,-0.01546
1890.60374,-0.01554
1888.5465,-0.01565
1886.48926,-0.01575
1884.43202,-0.01579
1882.37478,-0.01579
1880.31754,-0.01573
1878.2603,-0.01561
1876.20306,-0.01545
1874.14582,-0.01534
1872.08858,-0.01537
1870.03134,-0.0155
1867.9741,-0.0156
1865.91686,-0.01556
1863.85962,-0.01545
1861.80238,-0.01537
1859.74514,-0.01538
1857.6879,-0.01543
1855.63066,-0.01543
1853.57341,-0.01536
1851.51617,-0.01523
1849.45893,-0.0151
1847.40169,-0.01498
1845.34445,-0.01488
1843.28721,-0.01487
1841.22997,-0.01498
1839.17273,-0.01516
1837.11549,-0.01529
1835.05825,-0.01532
1833.00101,-0.01526
1830.94377,-0.01518
1828.88653,-0.01517
1826.82929,-0.01526
1824.77205,-0.01535
1822.71481,-0.01537
1820.65757,-0.01531
1818.60033,-0.01522
1816.54309,-0.01515
1814.48585,-0.01509
1812.42861,-0.01506
1810.37137,-0.01504
1808.31413,-0.01504
1806.25689,-0.01508
1804.19965,-0.01519
1802.14241,-0.01528
1800.08517,-0.01527
1798.02793,-0.01512
1795.97069,-0.0149
1793.91345,-0.01476
1791.85621,-0.01479
1789.79897,-0.01495
1787.74173,-0.01508
1785.68449,-0.01511
1783.62725,-0.01506
1781.57001,-0.01498
1779.51277,-0.01494
1777.45553,-0.0149
1775.39829,-0.01483
1773.34105,-0.01475
1771.28381,-0.01466
1769.22657,-0.01452
1767.16933,-0.01432
1765.11209,-0.01412
1763.05485,-0.01402
1760.99761,-0.01401
1758.94037,-0.014
1756.88313,-0.0139
1754.82589,-0.01362
1752.76865,-0.01305
1750.71141,-0.01208
1748.65416,-0.01073
1746.59692,-0.00897
1744.53968,-0.00678
1742.48244,-0.00418
1740.4252,-0.00145
1738.36796,0.0009
1736.31072,0.00228
1734.25348,0.00246
1732.19624,0.00158
1730.139,0.0001
1728.08176,-0.0015
1726.02452,-0.00292
1723.96728,-0.0041
1721.91004,-0.00503
1719.8528,-0.00576
1717.79556,-0.00637
1715.73832,-0.0069
1713.68108,-0.00734
1711.62384,-0.00782
1709.5666,-0.0084
1707.50936,-0.00899
1705.45212,-0.00938
1703.39488,-0.00952
1701.33764,-0.00956
1699.2804,-0.00967
1697.22316,-0.00985
1695.16592,-0.00993
1693.10868,-0.00963
1691.05144,-0.00884
1688.9942,-0.00756
1686.93696,-0.00587
1684.87972,-0.00386
1682.82248,-0.00179
1680.76524,0.00013
1678.708,0.0019
1676.65076,0.00371
1674.59352,0.00571
1672.53628,0.00798
1670.47904,0.0106
1668.4218,0.01371
1666.36456,0.0173
1664.30732,0.02137
1662.25008,0.02579
1660.19284,0.03031
1658.1356,0.03488
1656.07836,0.04017
1654.02112,0.04715
1651.96388,0.05624
1649.90664,0.06736
1647.8494,0.08151
1645.79216,0.09917
1643.73492,0.11863
1641.67767,0.13764
1639.62043,0.15417
1637.56319,0.1656
1635.50595,0.16873
1633.44871,0.16135
1631.39147,0.14434
1629.33423,0.12111
1627.27699,0.09629
1625.21975,0.07405
1623.16251,0.05646
1621.10527,0.04379
1619.04803,0.03511
1616.99079,0.02898
1614.93355,0.02437
1612.87631,0.02082
1610.81907,0.01789
1608.76183,0.01522
1606.70459,0.01266
1604.64735,0.01029
1602.59011,0.00827
1600.53287,0.00672
1598.47563,0.00568
1596.41839,0.00512
1594.36115,0.00507
1592.30391,0.00559
1590.24667,0.00674
1588.18943,0.00853
1586.13219,0.011
1584.07495,0.01437
1582.01771,0.01902
1579.96047,0.02535
1577.90323,0.03372
1575.84599,0.04386
